Id,message,recall
1,"Michael is food at just about everything he does, is adventurous, and often takes risks whether he should or not. If he takes on a project he sees it through to the end. He makes acquaintances easily, but is extremely forthright in his speaking, so I doubt he has a lot of close friends. He is often hurried, and moving quickly from one thing to the next.","Micheal is adventurous and a risk taker. He likes to do things like skiing, and mountain biking at night, and other things that seem dangerous for the sake of being dangerous. He is good at nearly everything he tries, and will critique others who are not. He makes casual friends quickly, and often makes plans without intending to follow through on them."
2,"This person is a dogmatic, determined person that is used to being in charge and leading the way into risky but successful situations. He will tell you the truth whether you want to hear it or not. He's prone to correcting people's grammar in the middle of conversations. He also likes to make a lot of friends but won't spend a lot of time listening to them and being a good friend to a select few.",Michael is a person that will tell you the truth even if you might not want to hear it. He makes acquaintances easy but will not engage them enough to listen to what they have to say. He likes to be adventurous and take risks as well.
3,"He always says what is exactly on his mind. Once he decides to do something, even if it's a bad idea, he does it.",He always likes to say what is exactly on his mind. When he decides to do something he does it even if it's best not too.
4,"He is straightforward, outgoing, and adventurous. He makes friends easy and is very friendly.","I remember I had to describe a male. He was outgoing, adventurous, friendly and said what's on his mind.Michael read a lot and was a conversationalist."
5,"The individual I will be describing is male. He is very adventurous. He has climbed Mt. McKinley, mountain biked at night, skied without any avalanche training, and also kayaked. He is quick to make friends. He is also a good conversationalist. He knows a lot of information about a lot of topics. He is also quick to make plans, sometimes without the intentions of following through. Often times he carries out his plans, even though it might be a better idea to cancel.","The individual I read about is male. He likes to be adventurous. He has climbed Mt. McKinley, skied without avalanche training, mountain biked at night and kayaked. He is quick to make friends. He is knowledgeable about many different topics. He often makes plans with no intention of carrying through. He often should cancel his plans but does not."
6,He is an outdoor adventurer. He is very straight forward and blunt when asked about his opinion. He is very social and has a lot of friends. He often makes plans with no intentions of following through. You like this person.,"He had been riding rapids in Colorado. Like to do outdoor activities. He had a lot of friends and due to this was aloof. He would make plans and rarely follow through. His name was Michael. Sam, my partner, liked this guy."
7,"He is an outgoing personality who makes friends easily with his conversational skills. He is an avid adventurer who loves outdoor activities and participates in extreme sports, even risking his life from time to time. He says whats on his mind, sometimes at the risk of hurting others, and he is quick to make plans with people even if he doesn't necessarily intend to follow through with those plans. He is a very determined individual and when he wants something done, nothing will get in his way.","Michael says what is on his mind, sometimes at the expense of others- he told a friend that her painting would need a lot more work. He makes friends easily as a skilled conversationalist and is quick to make plans with others even if he has no intention of following through with those plans. He is an adventurer, often risking his life and facing death in his pursuit of extreme outdoor sports. He has already climbed Mt. McKinley and has often faced dangerous hikes without any avalanche training. When he sets his mind to something, it is as good as done."
8,"He say what is on his mind. He climbed Mt. McKinley, goes skydiving, mountain biking, etc. He is a skilled conversationalist and has plenty of acquaintances. He reads a lot but has poor grammer.","He was a good conversationalist, climbs mountains, skydives, and make acquaintances easily. He has bad grammer but is a good speaker. He has superficial relationships and does not follow through on plans,."
9,"He is outspoken and adventurous. When someone asks for his opinion, he gives it to them directly. Although, he tends to rush through conversations and make plans without following through. Some would call him a risk taker. He enjoy climbing and skiing. He has lots of friends and is a stickler for proper grammar.",Michael is not afraid to speak the truth. When a friend asked him about her painting he said it needed more work. Michael has climbed Mount McKinley. He likes taking risks including skiing without any avalanche training. He corrects peoples incorrect grammar. He has a lot of friends and likes to make plans but often doesn't follow through with them.
10,"This person is very outspoken, loves excitement and adventure. The person has done many adventurous things like climbing Mt. McKinley and skydiving to name a few. This person reads a lot. Makes friends quickly and is somewhat critical of others. However, if you want something done they will get it done.",Michael was not liked very well by Sam. Michael was openly critical of a woman's painting by suggesting it needs more work.
11,He is a nice guy and well liked by those around him. He likes to say whats on his mind and he makes decisions quickly and decisively. He's both a reader and adventurer and can be impetuous when someone suggests something that suits him. He's not afraid of danger and engages in all sorts of physical extreme activities. He is easy to talk with and has lots of casual friends.,Michael likes excitement and adventure. He likes reading books. He says what is on his mind. He often makes decisions quickly. He has a lot of acquanitences. He makes spur of the moment decisions. Sam thinks hes nice.
12,"HE IS AN ADVENTURE SEEKING PERSON, TAKES MANY RISKS BUT DOES NOT SEE TO CARE ABOUT THE DANGER. HE IS A VERY OUTGOING INDIVIDUAL THAT LIKE TO COMMUNICATE WITH PEOPLE. HE IS A FAST TALKER THAT LIKES TO MAKE PLANS EVEN IF THEY ARE DIFFICULT FOR HIM TO KEEP AND HAS TO CANCEL. HE IS AN ELOQUENT SPEAKER AND DOES NOT TOLERATE BAD GRAMMAR BY OTHERS. IF HE THINKS IT HE SAYS IT AND IS NOT CONCERNED WITH THE FEELINGS OF OTHERS.","HE WAS FAST TALKING, CORRECTED THE GRAMMAR OF THOSE AROUND HIM, WENT BACK COUNTRY SKIING WITHOUT AVALANCHE TRAINING, CLIMBED MT. MCKINNLEY, MADE PLANS WITHOUT THE ABILITY TO KEEP THEM, TOLD A FRIEND THE PAINTING NEEDED MORE WORK, MADE AQUAINTENCES EASILY, COULD TALK ABOUT MANY DIFFERENT TOPICS"
13,"He always says just what is on his mind even if others feelings will be hurt, he as well can hold conversations for extended periods of time on various different topics, he is very intelligent. / As well a dare devil to some degree, i.e. he likes to climb very tall mountains and take part in other similar out door unconventional activities. / Subsequently being seriously injured and even facing death many times,","He always says what is on his mind even if it hurts other people, i.e. one time his friend ask his opinion relative to a project of hers and he told her it needed more work, he as well is very well spoken and intelligent, a dare devil that likes to climb mountains and he have been very seriously injured many times."
14,"This gentleman is honest and direct when providing advice. He loves adventures and takes risks. He is also well rounded and can make friends easily. He is also very intellectual and conscientious since he appears to be a perfectionist. Lastly, he is impulsive and generally does not think decisions over.","The person I was assigned to describe was named Michael. Micheal tend to say exactly what was on his mind and was a bit blunt when providing feedback. He also did quite a bit of risky things since he was adventurous such as climbing Mt. McKinley, skydiving and kayaked in the Colorado rapids. He was a great talker/speaker and seemed to make friends very easily. He read alot and had no issues correcting grammatical errors that he came across. Also when he comes to decisions, once he had his mind up he tend to stick with his initial solution and did not change it."
15,"He is charismatic and social, but can be a bit annoying and self-involved or shallow. He is intelligent but can use his intelligence to annoy people (like correcting grammar). He says what's on his mind even if it's unkind.","He corrected peoples grammar, he was intelligent, he was social, he gave people unwelcome opinions,"
16,"He's quick to say what he thinks, is brutally blunt and somewhat critical. He's a thrill seeker, skydiving, hiking, and mountain climbing, and he doesn't use necessary precautions, making him foolish. Perhaps he's secretly depressed and has a death wish. / / He's somewhat superficial, glib, charming those he meets, but his discourse with others is often hurried. But he can talk at length about things he's interested in and has the traits of a perfectionist with a determination to succeed. He often doesn't fulfill his promises. / / / / /","He says what on his mind, is blunt and critical. He points out grammar errors. He is a risk-taker and thrill seeker, always searching for excitement -- skydiving, mountain climbing, and hiking. He doesn't take safety precautions and has nearly died. He's a perfectionist, repeatedly trying until he gets it right. He's brief when talking to others but can talk at length on certain topics. He often doesn't follow through with plans, but when he makes up his mind to do something, he does it."
17,He is an avid outdoors man who enjoys taking risks. He has many acquaintances and talks a lot about a variety of topics. He is well read and not afraid to show it.,"He is an active outdoor enthusiast, enojys reading. Makes plans with many people but does not always follow through. Talks about many topics and corrects peoples grammar.."
18,"X is not one to beat around the bush. They're an individual who speaks plainly, not pulling any punches when communicating with others, but at the same time they're an exciting and adventurous athlete who knows how to win people over quickly and charm others in conversation. They're very high energy, and once committed to an idea, they rarely ever decide to abandon it, something that their litany of injuries suffered during adventures testifies.","Exact words? Hah. That's not how my brain works at all. / / Brash, blunt, forceful personality / -When asked about a friend's painting, told her it needed more work / / Athlete / -Climbed mountains / -Rowed kayaks down dangerous rivers / -Occasionally injured doing so / / Sociable, Friendly, Outgoing, Shallow / -Charming, aggressive talker / -Tends to make acquaintances and plan outings with no interest in continuing the friendship or ever seeing them again / / Dangerously Dedicated to Personal Goals / -Sticks to goals even if new information suggests it's a bad idea"
19,"He's an extreme risk taker who likes to talk and talk. He doesn't make friends, merely acquaintances and tends to be unreliable about any any plans he makes with them. He reads alot and often corrects others","Sam takes many risks without the knowledge he should have first. He talks to a great many people, he's a conversationist. His relationships are pretty superficial. He can't be depended upon. He reads alot and loves to correct others mistakes"
20,"He is a someone who speaks his mind freely. He is an adventurist and will do most anything even risking death, He is superficial, makes a lot of friends but has little time for real conversation with them, He makes many grammatical mistakes when it comes to writing",He is a straight forward talking kind of person. Says what is on his mind. He is very active. He is a risk taker even if death is a possibility. He is superficial and makes so many friends that he is unable to have a real conversation. He makes many grammatical mistakes
21,"This person is extremely verbose and correcting. He is a thrill-seeker who risks a lot for a new experience and he's the kind of person who's a bit annoying to be around. He corrects people, he makes plans with people without following through, and he's very superficial. He's been night-time mountain biking, skiing without avalanche-training, and he's generally talkative.","His name was Michael. He went down-hill mountain biking at night, he went skiing without avalanche training. He can seem superficial because he talks fast. He often makes plans to hang out as quickly as possible without making much effort to follow through. He corrects people's grammar when they're talking with him in person."
22,"This person is very honest and has a great sense of adventure. His sense of adventure is impressive, but incredibly risky. He has many acquaintances and skilled at conversation. He is an avid reader, and often corrects grammatical mistakes of those around him.","Michael is a brutally honest person. He has a sense of adventure and engages in activities like mountain climbing, which has been risky to his life. He is good at conversation and has many acquaintances. He is reads a lot and often corrects grammatical errors other people make. He is stubborn; once he has made up his mind, there is no turning back."
23,"This person is adventurous and a risk-taker, to the extent of being foolhardy. He wants to get the most out of everything life has to offer, and so flits from one thing to the next, craving constant challenge, stimulation and adventure. He approaches social interactions much the same way - he's very outgoing with people in general, is a good speaker and tells great stories - so his enthusiasm can come across as overbearing, and his friendliness insincere.","Michael is adventurous, takes risks, is a good speaker, tells great stories, can come across as insincere to people, always takes on what he decides to do no matter how long it takes."
24,"X is very adventurous and aggressive. X is a risk-taker who rarely changes his mind once he's made a decision. He is quite articulate, well-read and can be critical of others.","Mike is adventurous. He is a risk-taker. He rarely changes his mind once he has made a decision. He has climbed Mt. McKinley and has camped in the extreme cold. He is a avid reader and can be critical of others, including grammar and painting ability. He is articulate."
25,"This person likes to speak his mind. He can be rude. He likes excitement and adventure. He is a risk taker, even though he has been injure before. He likes to talk, he is a good speaker, even though he leaves people hanging. He rarely changes his mind Reads alot, enjoys correcting people.",Likes excitement and adventure. He is a risk taker. Been injured before and close to death. Rarely changes his mind. Reads alot. Likes to correct people.
26,"This guy is a daredevil, He has done some skydiving and has gone down the Colorado rapids in a kayak, He has got hurt many of times, He also talks a lot.","He was a skydiving and went down the Colorado rapids in a kayak, He got hurt many of times, He also talked a lot. /"
27,"He is a risk taker, and is an avid reader with my acquaintances. He rushes his conversations a lot and makes plans and flakes on them.",a guy named mike who was a risk taker and read a lot of books and made acquaintances but was flaky
28,"He is outspoken in a bad way, overly critical. He's a thrill-seeker and risk taker and doesn't plan well. He is very socially involved but his relationships are generally superficial.","Michael is driven to say exactly what is on his mind, even if it means telling a friend their painting ""needs work"". He is a thrill-seeker that has climbed everest, shot the rapids on the colorado, etc but often gets in trouble or injured because of poor planning and disregard of personal safety. He is a smooth-talker with many social connections but people get the impression that his relationships are superficial. He is a driven worker who always finishes what he decides to do."
29,"He speaks his mind - he once told a friend when asked what he thought of her painting that it needed more work. He is adventurous and has done skydiving, kayaking the Colorado rapids, back country skiing without any avalanche lessons, and has been injured and risked death on many occasions. He has many acquaintances, but because of that his conversations seem superficial and rushed. He tends to grammatical errors made in his presence. He sticks to things, seeing them through to completion.","He says what he thinks - he once told a friend when asked about her painting that it needed more work. He is adventurous and has gone skydiving, kayaking the Colorado rapids, back country skiing without having had avalanche lessons, and has often been injured or risked his life. He tends to correct grammatical errors made in his presence. He has many acquaintances, but so many that his conversations tend to be superficial. He sticks to things, seeing them through to the end."
30,He is adventurous and has a lot of energy. He is socialable and can converse with many different people but he tends to falsely commit himself to social plans.,He is an active person with lots of energy. He is social and blends well with many different groups. He often commits himself to social activities he never intends to attend.
31,"He'll always speak his mind. He is an adventurous guy: mountain climbing, kayaking, night downhill biking. He'll do it all even at the risk of death. He's a skilled conversationalist that can make acquaintances easily to the point it seems superficial and he'll make plans that he won't necessarily keep. Nevertheless, when he is determined to do something, you better believe it will be done.","Michael will tell you like it is. Michael is an adventurist. He has hiked Mt. McKinley, gone kayaking, biked downhill at night. Michael is a conversationalist. He can make friends easily at parties to the point it seems superficial. Michael reads a lot. He will correct grammar mistakes during conversations."
32,"He is stubborn, he is critical, he is flaky and makes plans without following through. He makes acquaintances easily. He is smart and well read.",He was a smart reader who made acquaintences easily. He was critical and a bit flaky as he made plans and didnt follow through.
33,"This person is somewhat of a daredevil, having risked injury and even death in numerous outdoor adventures--some without adequate safety training. This person makes friends quickly, is good at conversation, and frequently corrects the grammatical mistakes of conversation partners. This person makes a lot of plans with friends and acquaintances, sometimes with little intention of following through with planned activities.","The person whom I described is adventurous, often risking injury or even death by participating in dangerous activities, sometimes without adequate safety training. This person makes friends easily, is a good conversationalist, and often makes plans with acquaintances with little intention of following through on those plans. This person often corrects grammatical errors of those with whom he's conversing."
34,"He loves to find adventure and excitement. He has gone mountain climbing, skiing, kayaking and more. This has lead to some injuries and a few near death experiences. He is a great talker and keep conversation going easily. Soemtimes he seems hurried and his conversations feel fake. If you make plans with him, he may agree to a time, but it is very likely he won't follow through. He reads alot and knows about many different topics. He is very determined and little can sway him once his mind is set.","Michael is always seeking excitement and adventure. He has climbed mountains, kayaked on the Colorado rapids, downhill mountain biked at night, skied with no avalanche training and even sky- dived. He has been injured and come near death multiple times. / He speaks and makes acquaintances easily. Sometimes his conversations seem hurried and fake because he has so many acquaintances. If you make plans with him, there is a good chance he will not follow through. / Michael reads a lot. He will fix grammatical errors you make in his presence. He is a good speaker and knows many topics to speak about for a long time. / Michael is very determined. Once his mind is set he rarely changes it. He will continue the task until it is complete even if it isn't the best option."
35,"He is someone who has many friends but treats most of them on a superficial level. He sometimes makes plans with them and breaks them, has superficial conversations in which he corrects their grammar and is sometimes too brutally honest. He is also very reckless and does dangerous sports activites without getting the proper clearance or training to do them.",The person was a man who had a lot of superficial friendships and would correct people's grammar when in coversations with them. He also did a lot of reckless and dangerous sports activites without getting the clearance or training to do the activity.
36,"He is a thrill seeker, he does a lot of extreme outdoor adventures even though he doesn't necessarily have the training. He sounds stubborn, always accomplishes the things he sets his mind to even if he should probably give up or change plans. He might be a little pretentious, kind of a know-it-all even though he seems smart and well read, he's not gracious about his intelligence. He has a lot of superficial friends, but isn't as invested in deep conversations or knowing about other people.","He reads a lot and corrects other people's grammar, he is a climber has climbed mt everest and does other risky adventure sports even though he hasn't completed the training. He has lots of friends and has lots of conversations but they can be superficial. He speaks his mind plainly without regard for other's feelings, for example when a friend asked his option about a painting her told her it would need more work."
37,"This person this very outspoken and tells people like it is, even if it may hurt their feelings. He is very adventerous. He has many acquaintance's and often makes plans and doesnt follow through. he is an avid reader and intelligent.",THEY LIKED ADVENTURE AND REALLY SPOKE THEIR MIND EVEN IF IT HURT SOMEONES FEELINGS. THEY WERE VERY ADVENTEROUS. HAD MANY AQUANTENCES. INTELLIGENT AND LOVED TO READ. VERY GOOD TALKER.
38,He is adventurous and has injured himself and risked death a few times. He likes to read and correct grammars in his presence. He is very talkative which makes him make many plans without following through with them. He always says what's on his mind and once he makes up his mind to do something it is as good as done no matter how long it takes. And he rarely changes his mind.,Michael likes to read and correct grammars in his presence. He is adventurous and has injured himself and risked death few times. He is talkative which makes him make many plans and not follow through. He rarely changes his mind even when it's better for him to do so. He always says what's on his mind.
39,"The person is a man. He speaks his mind but is a good conversationalist, with knowledge on a wide variety of subjects. Sometimes he corrects other's grammatical errors. He has many acquaintances, but doesn't always follow through with them. He enjoys reading. / He can very determined when he decides to pursue a goal, even to the point of stubbornness. / He enjoys the outdoors, especially in pursuit of adventure. He has been injured and risked death pursuing his love of excitement. His adventures include mountain climbing, skydiving, white-water kayaking, and back-country skiing.","His name was Michael. He speaks his mind. He likes excitement and adventure. He has climbed Mt. McKinley, gone skydiving, been on a river in a kayak, skied in the back country without avalanche training. He has been injured and often risked death. He is a good conversationalist and speaker with a lot of knowledge. He makes many acquaintances but doesn't follow through with plans made with his acquaintances. He reads a lot. He corrects others grammar. When he sets his mind to a task, he's very determined to see it through, even to the point of unwise stubbornness."
40,"He has many interactions with people. He says what is on his mind. He makes plans with people but does not always follow through. He has climbed a mountain and other things that could have caused death. He sometimes is superficial when talking to people. When he decides to do something, he follows through no matter how difficult.","He had interactions with many people. He sometimes does plans with others and don't follow through. He says what is on his mind if you ask him a question. He is sometimes superficial when talking to others. Once he does something, he follows it through no matter how difficult. He has climbed a mountain and done other dangerous and deadly activities."
41,"This person has a lot of friends. He likes to make plans with them, but doesn't always follow through on those plans. He is into adventure. He has climbed Mt. McKinley, kayaked down rapids, gone mountain biking at night and done back country skiing. He likes to read books and will correct any grammatical errors he hears. He's a great speaker on many topics.","Michael likes to do adventurous things. He has climbed Mt. McKinley, shot the rapids in a kayak in Colorado, gone downhill mountain biking at night and done backcountry skiing without avalanche safety training. He reads a lot and is a good speaker on many topics. He will correct your grammar if you are talking with him. He has many acquaintances and talks hurriedly with them. He makes plans to do things quickly but doesn't always follow through on the plans."
42,Michael likes to have conversations and he completes all assignments on time no matter how long it takes for him to do it he loves Adventure.,He did not like Michael Michael was adventurous
43,"I read the description of a man who likes adventure. He has climbed Mt McKinley, gone skydiving, gone on the Colorado Rapids, and other exciting things. He also likes reading a lot.","The passage I read was a description of a man named Michael. He was very adventurous and had done things like climb Mt McKinley, go skydiving, and go on the Colorado Rapids. He was also into reading."
44,"this person is a bit of a dare devil, he has climbed mountains, gone skiing. he says what is on his mind, he makes friends easily but doesnt always follow through with his plans with friends. When he sets his mind to do something he does it.","micheal is a dare devil, he likes skiing, climbing moutains. he tends to speak his mind, he makes friends easily, he is determined. once he sets his mind to something he does it."
45,They are an accomplished mountain climber and backwoods skier. They are an excellent conversationilist but they have a tendency to correct other people's grammar. They are superficial and have a tendency to make plans with others that they don't keep.,His name was Michael and he gave blunt feedback to his friend about her painting that it needed more work. He was an experienced mount climber who had climbed Mt. McKinley. He was also an avid backwoods skier. He was a good conversationalist and someone who reads lots of books. He was known to correct people on their grammar during conversations. He was a superficial person who tended to make plans with others that he wouldn't keep.
46,this person takes a lot of risks. does not practice safety. they have done many adventurous things like mountain climbing and kayaking. they probably brag about this a lot. they have many acquaintances but not many friends. they frequently correct others grammar and probably think they are always right.,climbed mount McKinley. corrects other people's grammar. has lots of acquaintances but talks to them in a very hurried manner. hasn't had any avalanche training. has done a lot of adventurous things like hiking and kayaking
47,this person likes to skiing he also like kayaking he is a great conversationalist and can talk at length about all kinds of topics,he likes to kayak he also like to coversate
48,"This person always speaks his mind. He was once asked to comment on someone's painting and he suggested they should do more work. He is very adventuresome, often taking risks. His feats include kayaking on rapids and skiing in a dangerous environment without avalanche training just to name a couple. He is knowledgeable on many subjects and will often correct others' grammatical mistakes he overhears. Once he decides on doing something, he pursues it until accomplished.","The person described was very outgoing. He spoke his mind at all times. He once criticized someone's art because he was asked his opinion; he suggested it needed more work. This person had knowledge on many subjects and was very good with verbal skills socially. He would sometimes correct grammatical mistakes others made in casual conversation. He loved adventure which included skiing, kayaking down rapids, and climbing mountains. He took many risks in pursuing these activities."
49,He is an avid outdoorsman and has climbed Mt. McKinley and gone mountain biking at night. He is a good conversationalist and has many friends.,He hiked Mt Mckinley and went mountain bike riding at night. He was a good conversationalist and had lots of friends.
50,"This person is often quite blunt and very pedantic at times, worrying about the little things. He tends to be a bit aloof a lot, making many short hand associates/acquaintances, but has problems keeping up with them when making plans. He also is quite the conversationalist and is a decent speaker. He is very adventurous, tends to take lots of risks even when he doesn't want to, some might even call him stubborn.","The person was adventurous and a big risk taker, sometimes endangering their life or health. They were a good conversationalist and speaker and could make acquaintances quickly, but had problems following up on plans. They're pretty blunt and say whatever is on their mind usually and some might even call them stubborn since they rarely change their mind on anything."
51,"He is a very adventurous person. He has scaled mountains, kayaked rapids, and skied down mountains. He's also pretty risky, having been injured and almost died multiple times, and is also pretty brash, and not afraid to say what's on his mind.","He is an adventurous guy who has scaled Mt. McKinley, kayaked river rapids and skied mountains successfully. He is also pretty risky and has injured and almost killed himself multiple times, making him a pretty brash individual, who says what's on his mind."
52,"This person is a male that loves to live dangerously by constantly seeking out activities that give hime a rush (like climbing Mt. McKinley). Once he sets his mind to something he follows through until he accomplishes whatever it is he sets out to do. He is also well liked and has a lot of acquaintances. Not only that but he is a very good speaker, able to talk at length about many different topics.","His name was Michael and he was the type of person that always needs a rush (such as climbing Mt. McKinley, back country skiing without avalanche training, mountain biking downhill in the dark, skydiving). He has been injured many times and cheated death. He is also the type of person that has a lot of acquaintances. Because of this he doesn't necessarily spend much time talking to one person. He is also a well-spoken person, able to rattle on and on about various topics."
53,"The person you are going to guess is quite frank and always say exactly what's on his mind. This person is also very adventurous despite of lack in training which resulted in several injuries from his adventures. This person is good in conversations that he makes acquaintances easily. In addition, this person reads a lot, a good speaker and tends to correct wrong grammars made in his presence. Finally this person rarely change his mind. Once he made a decision, he tends to hold unto it for good","The person i was assigned to describe was Michael. Michael wants to say exactly what's on his mind. He is also very adventurous but has no safety training which got him into some injuries. He is quite good in conversation and as a result, makes a lot of friends. In addition, Michael is also a good speaker and is very fond of reading. Finally, Michael rarely changes his decision once he made up his mind."
54,HE IS COMPLETELY HONEST - NEVER SUGAR COATING HIS OPINION. HE IS ADVENTUROUS - EVEN SOMETIMES A BIT DANGEROUSLY ADVENTUROUS. HE MAKES FRIENDS EASILY - MAYBE A BIT TOO EASY. HE ENJOYS READING. HE DOES WHATEVER IT TAKES TO GET WHAT HE WANTS TO DO DONE.,HE IS ADVENTUROUS. HE MAKES FRIENDS EASILY. HE LIKES TO READ. HE IS STRAIGHT FORWARD AND IS A GOGETTER.
55,"He is a bit of a daredevil, defying death and doing crazy things that the normal person wouldn't think about doing. He is a great conversationalist and has a lot of acqaintenances. However, since he knows so many people, he is always rushing through a conversation, not really listening to any one conversation or any one person.","He is a daredevil, a conversationalist who has many acquaintenances but probably not many friends. A bit on the selfish or self-serving side."
56,"He is outgoing and outspoken. He is blunt when he talks to others. He enjoys the outdoors, especially adrenaline pumping activities. He is not always reliable though. He has a zest for life and likes adventures.",They enjoyed doing outdoorsy and adrenaline pumping activities. They have been hurt in the past from doing them. They speak their mind and are at times very blunt. They make plans but do not always keep them. When asked about their opinion on a painting they replied it could use more work.
57,X is superficial and a thrill-seeker. X tends to self promote and doesn't appear to care for others in a real way.,"Michael makes acquaintances easily and makes a lot of social plans that he later changes. He is a thrill seeker and takes unnecessary risks, putting others in danger. He seems pleasant and charming but there is no depth."
58,"Michael seems to be a thrill seeker. he likes to do extreme adventures every chance he gets. He has many acquaintances and is a skilled conversationalist although he has an annoying habit of correcting grammatical errors while chatting. He is very well read and knowledgeable about many topics, his conversations come off and hurried and fake and is prone to make commitments with friends with no intentions on following through with them.",Michael was an adventurer. He has climbed Mount Kingley. He likes to read. He has many acquaintances. He is a skilled conversationalist but he also seems hurried and not engaged while talking. he likes to correct conversation error (grammar) while talking. He is knowledgeable about a lot of different topics.
59,This person may come across as an arrogant braggart. They have many adventurous sounding anecdotes and are willing to correct grammar in casual conversation. They may seem superficial and stubborn.,"He is adventurous and goes on a lot of trips, he is a risk taker and will ski at night with no avalanche training. He has a lot of friends so his interaction can seem too quick and superficial. He will correct your grammar. He will talk about himself at length."
60,He always speaks his mind and is a person who craves adventure. He is good at conversation and has many acquaintances. He is a bit superficial and doesn't always follow up with the plans he makes with people. He likes to read and he can be very stubborn.,"He always speaks his mind. He searches out adventure. He is good at conversation and has many acquaintances, but they tend to be superficial relationships. He reads a lot and he's stubborn."
61,This person like to speak his mind no matter what he is thinking. He is very adventurous and will try anything no matter how dangerous. He likes to talk to people and can make plans with many but not come thru with any. He is a big reader and doesn't think twice about correcting someones grammar while talking.,He spoke whatever was on his mind. He was adventurous even if it was dangerous. He read a lot and thus like to correct other peoples grammar when talking to them. He liked to talk to people.
62,"He tends to considering himself to be the center of all groups. All conversation must revolve around him. He loves adventures and bragging about them to others. He is determined to do whatever he decides to do - for better or for worse - but doesn't seem to have the ability to care about others. While a great conversationalist, he thinks all discussions should be about him.","The target person's name was Michael. He had achieved things like climbing Mt. McKinley, riding a motorbike down a mountain at night, photographing rapids. He seeks adventure. He is a great conversationalist but loves to talk about himself mostly. Very active person with a lot of interests. Seems more interested in himself than others."
