id,message,recall
1,"How his day went, the kids, what we're doing for dinner, things that we are worried about or need to plan for in the following days or weeks",The future.
2,"Daily life mostly. We both work, so at the end of the work we talk usual stuff. We plan together, where we go, what we do, what we should eat, where we go, about future.","Movies, sports, love life, friends"
3,How our days were at work or interesting things that happened at work. We also talk about current events. ,I enjoy hearing about her day and I also enjoy our conversations about current events. 
4,"We typically talk about whatever is going on in our lives. If he wants to talk to me about Pokemon or MTG that's what we talk about. If we want to talk about our lives outside of our hobbies we talk about that. It's never anything specific, but it's always special.","I enjoy talking to my partner about our hobbies. Normally when we play video games, we can talk for hours about what we could do better and how awesome of a teammate the other person is. I love talking to him about things he loves because his lips do something that makes me swoon when  he's really passionate about something."
5,Mostly day to day things as opposed to deep intellectual conversations.,Anything positive and happy.
6,"How our days were. What happened during the day that was stressful or funny. Things we're planning on for the weekend or in the future. Current events, news and politics. How crazy our kids are. Purchases we're planning on making. ",Our children and trips we might take together. I also really enjoy hearing about his day and sharing my day with him.
7,"what we did that day, what we are going to do, the dogs, our family, what's on TV, chores to be done","upcoming trips or vacations, shows/movies we enjoy watching together on TV "
8,household issues,what is going on in our lives
9,Current events and our children.,I like to talk about our future and making a plan to get there.
10,We typically talk about how each others days and lives are going and about upcoming plans and current events.,I enjoy talking about music and our group of friends
11,Daily life ,"Movies, traeling "
12,"We talk about current events in our local town, what we should do for our vacation. We talk about our day at work. What we should have for dinner or where to go for dinner. ",Sex. Food. TV shows. Our Future.
13,"work, current events, television...everything.","politics, television."
14,"politics, rockets, video games, TV shows, his work, our families, whatever adult responsibility crap we're supposed to be doing","his work, music in general"
15,"Parenting mostly.  Also our schedules, what happened at work, what we saw when we went out driving, who she talked to.",Our child and how she will be when she grows up.
16,"Everything. Politics, love, children, grandchildren, news, etc. We talk about everything. We spend our lives together and never get tired of it. Sounds too good to be true, right? It's absolutely true.",How much we adore each other.
17,"How the day went, what upcoming plans look like.  We may talk about dinner prep or a show we are watching or our families.","Future plans around houses, cabins and travel plans."
18,Anything and everything!,"all things, he's my best friend!"
19,"How our days went, funny things seen online, etc.","Honestly, boring stuff like what he did in his job. I feel close to him when describing mundane everyday things."
20,ALL ABOUT OUR DAILY ACTIVITTIES,"CINEMA, MUSIC, OFFICE ENJOYMENTS"
21,we were shares our feeling and sorrows.,love proposes of each other.
22,everything,science fiction
23,"We talk about our days; we talk about how we're feeling and what we're thinking about. Right now we talk a lot about the news and politics, because there's a lot going on that could really affect our lives. But mostly we talk about each other/our lives.","I like talking to him about history and art. He loves history, and he's always happy to talk about it, so I sit and listen. We also both love photography."
24,"our days, our goals, make stupid jokes",future things we'll do together
25,We mostly discuss our day to day plans or activities. He tells me about his day at work. We share our thoughts / feelings on current events. We talk about our plans for the kids.,Plans / events with our kids. Things we've seen in current events.
26,Talking about kids education.,Romantic talk.
27,"Our day, our future, and the desires of our heart","Spirituality, hopes, and dreams "
28,"We talk about the children, finances, vacations, parents, leisure.","Politics, and sports."
29,"things we've accomplished, how we feel, what we like, what our opinions are","technology, music"
30,"politics, science, mostly about our interests or something we are looking to buy",issues concerning out society
31,"Work, kids, coworkers, tv shows, relationship",tv shows
32,"Life, work, entertainment.","Tv shows, work problems."
33,"Our days at work, our daughter, things we want to accomplish or tasks that need to be done",Our life and daughters life
34,"Daily activities, work, past experiences, future plans, etc.",Future plans
35,"We talk about daily events, progress in goals, the news and simple gossip.","I love to talk about our future together, especially when we are making plans for our life such as buying a home or going on a vacation."
36,"School, friends, family.",Things to do with school.
37,We typically talk about how our day has been and what's going on with work and such.  We'll discuss future plans.  We'll talk about upcoming events.,The topics I enjoy the most discussing with my wife is how her day has been.  I am always interested in knowing every detail of her day.
38,"How his day at work went, what's going on in the news lately (he follows it closely and I only get my news information from him as I can't stand watching the news), things about the game we're doing during our walks (pokemon go), how my job (turking) is going, how our diets are going, our plans for fun things in the weekend",I enjoy hearing his perspective on news issues and I like becoming informed of the world around me through him.
39,"Family stuff, entertainment, jokes",Stuff that makes us laugh.
40,THe kids and work. ,Anything that is not kids or work
