id,message,recall
1,The way to help my daughter with her problems with school. We were able to decide to help her by getting a tutor. Since she has had a tutor it has really helped her. ,I felt good. We were able to work together to decide what the best idea would be to help our daughter.
2,We were discussing if I should pursue my career further my getting a bachelors degree or should I wait. ,"I felt very synced with my partner, and that we had same thoughts and shared the same concept. It felt very real and that I felt that  our perspectives definitely merged at that time, because we were both thinking the same way. "
3,We were discussing choices of where to go and what to do on the weekend.,I felt like our interests were in tune with each other
4,"We were discussing moving out of state. My husband was offered a job on the east coast and I really didn't want to move across the country. He thought it would be a good idea ,and I didn't think so at all.",I felt frustrated . I didn't want o move so far from our home and I knew that he could stay at his position here and make the same amount of money.
5,"We were, I hate to say this. discussing his mother. it's been 17 years that she has spoken to us, we've gone thru a rough road because of that. This year she needed him, and we took her into our home. We all seemed like strangers, and were trying to get things going for her. ","Felt so awkward, unbelieveable, like what was just happening to us. It was so striking."
6,We were discussing our anniversary. She wanted a big celebration and I thought something simple would be better.,I felt like she was being frivolous and it made me agitated. 
7,The recent actions of a friend. ,I felt in tune and understood. 
8,"A friend of ours who is terrible financially, whereas we are in a decent place ",Good.  Like we were on the same page. 
9,We were talking about what kind of porn we might be okay with doing if we absolutely didnt have a choice to do porn and got to pick. We randomly talk about weird things sometimes.,"Slightly judgemental, and curious as to why she picked the decision she picked. I usually don't have too much trouble seeing eye to eye with her on alot of things, but this time I did."
10,Going to court to obtain legal guardianship of our 3 year old granddaughter.,Determined.
11,What to name our second child,"Frustrated and indecisive, somewhat unsupported"
12,Our child's recently discovered musical ability,Slightly surprised and very happy
13,We were talking about our future plans. We spent over an hour outside after work just discussing our goals and what we need to do to be together in the future.  A lot it revolved around financial plans and career goals. We talked about how much we need to save for our wedding and the most ideal salary for us to afford a home and children. We hope for these goals to be realized within a year. ,I felt really connected and in tune with my partner. I was really happy that we were planning for the future because I love talks like that. We were really on the same page and felt like things were finally moving along. I felt really optimistic. 
14,Whether or not to move to a smaller house. ,Completely frustrated and like we would never be successful if we had to make every decision based on what other people would think about it. 
15,Money - budget,Like he wasn't listening to me
16,When we are planning for our wedding,we are exchanging our like and combine it all
17,"We were discussing what was deemed cultural appropriation, specifically the word ""happa."" I am part Japanese/white, and this word has been used proudly for people like me. We were discussing its origins as a Hawaiian term and my SO thought this was cultural appropriation, but was doubting my opinion and experience as being helpful that no, this doesn't fall under that category of offensively reclaiming another culture. ",I felt frustrated. I felt like he was arguing for the sake of being right and stubbornly refusing to see my points as valid. He also refused to see my experience and someone who has been actively involved in happa/Asian-American communities since childhood as something legitimate.
18,I imagined us discussing a financial situation in which we couldn't agree on what the correct steps to take were.,"I felt slightly annoyed that we couldn't come to a consensus, however I wasn't angry. We just weren't communicating the same ideas."
19,Food. we were discussing what to eat and I really wanted mexican food but he wanted chinese. I did not want chinese at all.,Annoyed. I wanted my way.
20,"We were discussing our future plans regarding schooling for our potential children.  My partner felt very strongy about paying to send our children to private school, whereas I felt that our kids could succeed just as well at public school.  ",I felt frustrated because we both came from very different experiences and neither of us knew what schooling was like based on the other persons past experience.  
